"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"BC1","CS-1005","58.674mm","45.593mm","58.674mm","45.593mm","58.674mm","46.043mm","T","270.00","1uF"
"BC2","CS-1005","59.944mm","45.593mm","59.944mm","45.593mm","59.944mm","46.043mm","T","270.00","0.1uF"
"BC3","CS-1005","65.659mm","59.436mm","65.659mm","59.436mm","65.659mm","58.986mm","T","90.00","0.1uF"
"BC4","CS-1005","59.309mm","52.832mm","59.309mm","52.832mm","59.759mm","52.832mm","T","180.00","0.1uF"
"BC5","CS-1005","63.5mm","48.768mm","63.5mm","48.768mm","63.5mm","49.218mm","T","270.00","0.1uF"
"BC6","CS-1005","67.945mm","47.879mm","67.945mm","47.879mm","67.945mm","48.329mm","T","270.00","0.1uF"
"BC7","CS-1005","72.136mm","52.451mm","72.136mm","52.451mm","71.686mm","52.451mm","T","360.00","0.1uF"
"BC8","CS-1005","66.929mm","59.436mm","66.929mm","59.436mm","66.929mm","58.986mm","T","90.00","0.1uF"
"BC9","CS-1005","64.389mm","59.436mm","64.389mm","59.436mm","64.389mm","58.986mm","T","90.00","0.1uF"
"BC10","CS-1005","61.214mm","55.118mm","61.214mm","55.118mm","61.664mm","55.118mm","T","180.00","0.1uF"
"BC11","CS-1005","64.77mm","47.879mm","64.77mm","47.879mm","64.77mm","48.329mm","T","270.00","0.1uF"
"BC12","CS-1005","72.771mm","51.181mm","72.771mm","51.181mm","72.321mm","51.181mm","T","360.00","0.1uF"
"BC13","CS-1005","71.247mm","55.118mm","71.247mm","55.118mm","70.797mm","55.118mm","T","360.00","0.1uF"
"BC14","CS-1005","57.023mm","8.382mm","57.023mm","8.382mm","57.473mm","8.382mm","T","180.00","1uF"
"BC15","CS-1005","57.023mm","9.652mm","57.023mm","9.652mm","57.473mm","9.652mm","T","180.00","0.1uF"
"BC16","CS-1005","65.786mm","20.447mm","65.786mm","20.447mm","65.786mm","19.997mm","T","90.00","0.1uF"
"BC17","CS-1005","59.436mm","13.97mm","59.436mm","13.97mm","59.886mm","13.97mm","T","180.00","0.1uF"
"BC18","CS-1005","63.881mm","10.16mm","63.881mm","10.16mm","63.881mm","10.61mm","T","270.00","0.1uF"
"BC19","CS-1005","68.326mm","9.398mm","68.326mm","9.398mm","68.326mm","9.848mm","T","270.00","0.1uF"
"BC20","CS-1005","72.136mm","13.843mm","72.136mm","13.843mm","71.686mm","13.843mm","T","360.00","0.1uF"
"BC21","CS-1005","67.056mm","20.447mm","67.056mm","20.447mm","67.056mm","19.997mm","T","90.00","0.1uF"
"BC22","CS-1005","64.516mm","20.447mm","64.516mm","20.447mm","64.516mm","19.997mm","T","90.00","0.1uF"
"BC23","CS-1005","62.357mm","16.637mm","62.357mm","16.637mm","62.807mm","16.637mm","T","180.00","0.1uF"
"BC24","CS-1005","65.151mm","9.398mm","65.151mm","9.398mm","65.151mm","9.848mm","T","270.00","0.1uF"
"BC25","CS-1005","73.025mm","12.573mm","73.025mm","12.573mm","72.575mm","12.573mm","T","360.00","0.1uF"
"BC26","CS-1005","72.136mm","16.383mm","72.136mm","16.383mm","71.686mm","16.383mm","T","360.00","0.1uF"
"BC27","CS-1005","52.832mm","60.071mm","52.832mm","60.071mm","53.282mm","60.071mm","T","180.00","0.1uF"
"BC28","CS-1005","52.832mm","58.801mm","52.832mm","58.801mm","53.282mm","58.801mm","T","180.00","1uF"
"BC29","CS-1005","52.832mm","23.622mm","52.832mm","23.622mm","53.282mm","23.622mm","T","180.00","0.1uF"
"BC30","CS-1005","52.832mm","22.225mm","52.832mm","22.225mm","53.282mm","22.225mm","T","180.00","1uF"
"C1","CS-1005","74.168mm","47.498mm","74.168mm","47.498mm","74.168mm","47.948mm","T","270.00","12pF"
"C2","CS-1005","77.724mm","42.926mm","77.724mm","42.926mm","77.724mm","43.376mm","T","270.00","0.1uF"
"C3","CS-1005","70.104mm","44.45mm","70.104mm","44.45mm","70.104mm","44.9mm","T","270.00","12pF"
"C4","CS-1005","74.549mm","9.525mm","74.549mm","9.525mm","74.099mm","9.525mm","T","0.00","12pF"
"C5","CS-1005","70.231mm","5.969mm","70.231mm","5.969mm","70.231mm","6.419mm","T","270.00","12pF"
"C6","CS-1005","76.708mm","4.572mm","76.708mm","4.572mm","76.708mm","5.022mm","T","270.00","0.1uF"
"C7","CS-1005","54.229mm","55.626mm","54.229mm","55.626mm","53.779mm","55.626mm","T","0.00","0.1uF"
"C8","CS-1005","53.848mm","18.923mm","53.848mm","18.923mm","53.398mm","18.923mm","T","0.00","0.1uF"
"C9","CS-1005","54.229mm","54.356mm","54.229mm","54.356mm","53.779mm","54.356mm","T","360.00","0.1uF"
"C10","CS-1005","53.848mm","17.653mm","53.848mm","17.653mm","53.398mm","17.653mm","T","360.00","0.1uF"
"C11","CS-1005","51.6891mm","50.5462mm","51.6891mm","50.5462mm","51.2391mm","50.5462mm","T","360.00","0.1uF"
"C12","CS-1005","51.689mm","14.224mm","51.689mm","14.224mm","51.239mm","14.224mm","T","360.00","0.1uF"
"C13","CS-1005","51.6891mm","49.2762mm","51.6891mm","49.2762mm","51.2391mm","49.2762mm","T","360.00","0.1uF"
"C14","CS-1005","51.689mm","12.954mm","51.689mm","12.954mm","51.239mm","12.954mm","T","360.00","0.1uF"
"C19","CS-1608","80.899mm","32.258mm","80.899mm","32.258mm","80.899mm","33.0581mm","T","270.00","0.1uF"
"C20","CS-1608","82.804mm","32.258mm","82.804mm","32.258mm","82.804mm","33.0581mm","T","270.00","1nF"
"C21","CS-1608","72.39mm","32.258mm","72.39mm","32.258mm","72.39mm","33.0581mm","T","270.00","0.1uF"
"C22","CS-2012","39.243mm","30.353mm","39.243mm","30.353mm","39.243mm","31.4325mm","T","270.00","10uF"
"C23","CS-1005","41.402mm","30.988mm","41.402mm","30.988mm","41.402mm","31.438mm","T","270.00","0.1uF"
"C24","CS-1005","42.672mm","30.988mm","42.672mm","30.988mm","42.672mm","31.438mm","T","270.00","10nF"
"C25","CS-2012","61.976mm","32.004mm","61.976mm","32.004mm","61.976mm","33.0835mm","T","270.00","10uF"
"C26","CS-1005","23.622mm","31.75mm","23.622mm","31.75mm","24.072mm","31.75mm","T","180.00","0.1uF"
"C27","CS-1005","80.01mm","44.323mm","80.01mm","44.323mm","80.01mm","43.873mm","T","90.00","0.1uF"
"C28","CS-1005","80.137mm","3.429mm","80.137mm","3.429mm","80.137mm","2.979mm","T","90.00","0.1uF"
"CN1","TH_HC-SFP-01L","30.2338mm","52.1285mm","30.2338mm","52.1285mm","11.684mm","59.2533mm","T","270.00","TH_HC-SFP-01L"
